frame,timestamp,track_id,class,class_id,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,width,height
0,0.0,1,car,2,0.794681191444397,0.4860963821411133,634.8831787109375,174.98660278320312,873.3348388671875,87.7363510131836,754.1090087890625,174.50050354003906,238.45166015625
0,0.0,2,car,2,0.5284290909767151,736.831298828125,527.5463256835938,1236.73291015625,920.4657592773438,986.7821044921875,724.0060424804688,499.901611328125,392.91943359375
0,0.0,3,car,2,0.5002388954162598,440.8136291503906,596.6260986328125,672.2022094726562,766.9072265625,556.5079345703125,681.7666625976562,231.38858032226562,170.2811279296875
0,0.0,4,truck,7,0.3798944056034088,737.6173095703125,526.8411865234375,1236.195556640625,922.670654296875,986.9064331054688,724.7559204101562,498.5782470703125,395.8294677734375
0,0.0,5,car,2,0.32901516556739807,597.0609130859375,619.530517578125,720.0999755859375,722.56591796875,658.5804443359375,671.0482177734375,123.0390625,103.035400390625
1,0.048182612595892106,1,car,2,0.6994664072990417,4.033915042877197,629.2503051757812,181.98507690429688,872.1860961914062,93.0094985961914,750.7182006835938,177.95115661621094,242.935791015625
1,0.048182612595892106,2,truck,7,0.3973425626754761,734.7582397460938,527.3924560546875,1237.7325439453125,922.805908203125,986.245361328125,725.0991821289062,502.97430419921875,395.4134521484375
1,0.048182612595892106,4,car,2,0.5152612328529358,738.2033081054688,526.8880004882812,1235.875244140625,921.9881591796875,987.039306640625,724.4381103515625,497.67193603515625,395.10015869140625
2,0.09636522519178421,1,car,2,0.744495689868927,0.996492326259613,592.8123779296875,207.50234985351562,874.7760620117188,104.24942016601562,733.794189453125,206.505859375,281.96368408203125
2,0.09636522519178421,2,truck,7,0.4084138572216034,734.1898193359375,527.1683349609375,1236.9857177734375,922.5374145507812,985.5877685546875,724.8529052734375,502.7958984375,395.36907958984375
2,0.09636522519178421,4,car,2,0.520188570022583,737.4736938476562,526.4410400390625,1235.023193359375,921.4266967773438,986.2484130859375,723.933837890625,497.54949951171875,394.98565673828125
2,0.09636522519178421,3,car,2,0.6104733943939209,441.6101989746094,598.48876953125,672.1844482421875,768.4367065429688,556.8973388671875,683.4627685546875,230.57424926757812,169.94793701171875
2,0.09636522519178421,5,car,2,0.3919631242752075,593.5210571289062,620.9840698242188,730.5712890625,736.1940307617188,662.046142578125,678.5890502929688,137.05023193359375,115.2099609375
3,0.14454783778767633,1,car,2,0.7644988298416138,4.772392272949219,579.7861328125,221.10308837890625,874.4729614257812,112.937744140625,727.1295166015625,216.3306884765625,294.68682861328125
3,0.14454783778767633,4,car,2,0.6522037386894226,739.1557006835938,527.698974609375,1234.0472412109375,920.5604858398438,986.6014404296875,724.1297607421875,494.89154052734375,392.86151123046875
3,0.14454783778767633,3,car,2,0.5652099251747131,469.91998291015625,597.9899291992188,693.5731811523438,761.3671264648438,581.74658203125,679.6785278320312,223.6531982421875,163.377197265625
4,0.19273045038356842,1,car,2,0.7512352466583252,6.071436405181885,576.2589111328125,225.13111877441406,873.8558959960938,115.60128021240234,725.057373046875,219.05967712402344,297.59698486328125
4,0.19273045038356842,4,car,2,0.6730577945709229,740.484619140625,528.2384033203125,1232.9342041015625,919.0501098632812,986.7094116210938,723.644287109375,492.4495849609375,390.81170654296875
4,0.19273045038356842,3,car,2,0.536617636680603,476.9256591796875,597.7803955078125,701.1590576171875,760.0296020507812,589.0423583984375,678.905029296875,224.2333984375,162.24920654296875
4,0.19273045038356842,7,truck,7,0.30716049671173096,690.3365478515625,572.093017578125,795.9859008789062,658.9196166992188,743.1612548828125,615.50634765625,105.64935302734375,86.82659912109375
5,0.24091306297946055,1,car,2,0.7874284982681274,10.867462158203125,572.1647338867188,233.64981079101562,872.8970336914062,122.25863647460938,722.5308837890625,222.7823486328125,300.7322998046875
5,0.24091306297946055,4,car,2,0.5980421304702759,736.9716796875,527.4641723632812,1233.52685546875,921.5164794921875,985.249267578125,724.4903564453125,496.55517578125,394.05230712890625
5,0.24091306297946055,3,car,2,0.588904857635498,478.21673583984375,595.617431640625,707.1348876953125,759.8182983398438,592.67578125,677.7178955078125,228.91815185546875,164.20086669921875
6,0.28909567557535265,1,car,2,0.8175733089447021,26.323505401611328,565.1065063476562,259.412841796875,874.1505126953125,142.86817932128906,719.6285400390625,233.08934020996094,309.04400634765625
6,0.28909567557535265,4,car,2,0.6877424716949463,734.566650390625,529.7258911132812,1230.462158203125,923.2255249023438,982.514404296875,726.4757080078125,495.8955078125,393.4996337890625
6,0.28909567557535265,3,car,2,0.6713125109672546,490.3758850097656,622.8649291992188,680.8389892578125,758.372314453125,585.607421875,690.61865234375,190.46310424804688,135.50738525390625
6,0.28909567557535265,5,car,2,0.48954474925994873,612.4412231445312,621.7152099609375,743.6918334960938,733.0807495117188,678.0665283203125,677.39794921875,131.2506103515625,111.36553955078125
7,0.3372782881712448,1,car,2,0.7937791347503662,31.37333869934082,563.1384887695312,285.93963623046875,894.8565673828125,158.656494140625,728.99755859375,254.56629943847656,331.71807861328125
7,0.3372782881712448,4,car,2,0.7476145029067993,741.6893310546875,534.4182739257812,1225.9237060546875,918.2867431640625,983.8065185546875,726.3525390625,484.234375,383.86846923828125
7,0.3372782881712448,3,car,2,0.6791629195213318,500.6440734863281,639.208251953125,668.7353515625,757.0372314453125,584.689697265625,698.1227416992188,168.09127807617188,117.8289794921875
7,0.3372782881712448,5,car,2,0.42725130915641785,616.557373046875,621.7965698242188,748.1361083984375,734.7877807617188,682.3467407226562,678.2921752929688,131.5787353515625,112.9912109375
8,0.38546090076713685,1,car,2,0.7588698863983154,33.92545700073242,562.975341796875,300.9268798828125,904.330078125,167.42616271972656,733.6527099609375,267.0014343261719,341.354736328125
8,0.38546090076713685,4,car,2,0.6844362616539001,745.7039184570312,535.9337768554688,1223.312744140625,914.0323486328125,984.50830078125,724.9830322265625,477.60882568359375,378.09857177734375
8,0.38546090076713685,3,car,2,0.6336392164230347,488.40789794921875,609.2718505859375,694.9190063476562,754.74169921875,591.6634521484375,682.0067749023438,206.5111083984375,145.4698486328125
9,0.433643513363029,1,car,2,0.9149271845817566,52.55790710449219,564.1688842773438,323.0106201171875,896.75048828125,187.78427124023438,730.459716796875,270.45269775390625,332.58160400390625
9,0.433643513363029,4,car,2,0.8033005595207214,747.128662109375,536.0358276367188,1219.1474609375,909.178955078125,983.1380615234375,722.607421875,472.018798828125,373.14312744140625
9,0.433643513363029,3,car,2,0.6404502987861633,513.3767700195312,628.1724853515625,690.7787475585938,751.3577270507812,602.0777587890625,689.76513671875,177.4019775390625,123.18524169921875
10,0.4818261259589211,1,car,2,0.9147884249687195,56.871212005615234,565.055908203125,333.8977355957031,893.5484619140625,195.3844757080078,729.3021850585938,277.0265197753906,328.4925537109375
10,0.4818261259589211,4,car,2,0.7935142517089844,746.1881713867188,535.7976684570312,1219.0325927734375,909.28955078125,982.6103515625,722.5435791015625,472.84442138671875,373.49188232421875
10,0.4818261259589211,3,car,2,0.6208997964859009,523.0485229492188,635.8200073242188,689.435302734375,749.7913818359375,606.241943359375,692.8056640625,166.38677978515625,113.97137451171875
11,0.5300087385548132,1,car,2,0.9252066612243652,58.84852600097656,564.8990478515625,341.69158935546875,887.9694213867188,200.27005004882812,726.4342041015625,282.84307861328125,323.07037353515625
11,0.5300087385548132,4,car,2,0.7879074811935425,745.3958129882812,536.1364135742188,1219.85400390625,910.881103515625,982.6248779296875,723.5087890625,474.45819091796875,374.74468994140625
11,0.5300087385548132,3,car,2,0.5357896685600281,514.5419921875,614.7384643554688,707.8287963867188,747.9747314453125,611.1854248046875,681.3565673828125,193.28680419921875,133.23626708984375
